[1/4] loading table of contents (cached under C:\Users\yairz\Downloads\FutureOS-master\FutureOS-master\Sfarim\tools\output\_cache) ...
[2/4] loading Hebrew text index (books.json, cached) ...
      6211 titles have a Hebrew version available
[3/4] building/verifying category tree (idempotent) ...
[4/4] 6211 Hebrew books matched to the TOC; 0 already imported, 6211 to fetch now
  3575/6211 books | 802616 segments | 467s elapsed | ETA 5.7min
  3600/6211 books | 808612 segments | 471s elapsed | ETA 5.7min
  3625/6211 books | 829374 segments | 479s elapsed | ETA 5.7min
  3650/6211 books | 832330 segments | 482s elapsed | ETA 5.6min
  3675/6211 books | 838693 segments | 499s elapsed | ETA 5.7min
  3700/6211 books | 838693 segments | 526s elapsed | ETA 5.9min
  3725/6211 books | 839364 segments | 532s elapsed | ETA 5.9min
  3750/6211 books | 840102 segments | 535s elapsed | ETA 5.9min
  3775/6211 books | 841121 segments | 537s elapsed | ETA 5.8min
  3800/6211 books | 848296 segments | 543s elapsed | ETA 5.7min
  3825/6211 books | 854373 segments | 551s elapsed | ETA 5.7min
  3850/6211 books | 879084 segments | 557s elapsed | ETA 5.7min
  3875/6211 books | 911595 segments | 565s elapsed | ETA 5.7min
  3900/6211 books | 919529 segments | 574s elapsed | ETA 5.7min
  3925/6211 books | 939235 segments | 585s elapsed | ETA 5.7min
  3950/6211 books | 944152 segments | 588s elapsed | ETA 5.6min
  3975/6211 books | 944469 segments | 590s elapsed | ETA 5.5min
  4000/6211 books | 948617 segments | 593s elapsed | ETA 5.5min
  4025/6211 books | 953703 segments | 595s elapsed | ETA 5.4min
  4050/6211 books | 957006 segments | 599s elapsed | ETA 5.3min
  4075/6211 books | 964444 segments | 604s elapsed | ETA 5.3min
  4100/6211 books | 991774 segments | 609s elapsed | ETA 5.2min
  4125/6211 books | 1007375 segments | 615s elapsed | ETA 5.2min
  4150/6211 books | 1017255 segments | 620s elapsed | ETA 5.1min
  4175/6211 books | 1020490 segments | 624s elapsed | ETA 5.1min
