[1/4] loading table of contents (cached under C:\Users\yairz\Downloads\FutureOS-main\FutureOS-main\Sfarim\tools\output\_cache) ...
[2/4] loading Hebrew text index (books.json, cached) ...
      6211 titles have a Hebrew version available
[3/4] building/verifying category tree (idempotent) ...
[4/4] 6211 Hebrew books matched to the TOC; 0 already imported, 6211 to fetch now
  4175/6211 books | 1017393 segments | 471s elapsed | ETA 3.8min
  4200/6211 books | 1019785 segments | 474s elapsed | ETA 3.8min
  4225/6211 books | 1024319 segments | 474s elapsed | ETA 3.7min
  4250/6211 books | 1039071 segments | 475s elapsed | ETA 3.7min
  4275/6211 books | 1049305 segments | 476s elapsed | ETA 3.6min
  4300/6211 books | 1055744 segments | 477s elapsed | ETA 3.5min
  4325/6211 books | 1057172 segments | 477s elapsed | ETA 3.5min
  4350/6211 books | 1060011 segments | 477s elapsed | ETA 3.4min
  4375/6211 books | 1074259 segments | 479s elapsed | ETA 3.4min
  4400/6211 books | 1102521 segments | 481s elapsed | ETA 3.3min
  4425/6211 books | 1149948 segments | 484s elapsed | ETA 3.3min
  4450/6211 books | 1189325 segments | 487s elapsed | ETA 3.2min
  4475/6211 books | 1238762 segments | 496s elapsed | ETA 3.2min
  4500/6211 books | 1263365 segments | 498s elapsed | ETA 3.2min
  4525/6211 books | 1267998 segments | 499s elapsed | ETA 3.1min
  4550/6211 books | 1280081 segments | 500s elapsed | ETA 3.0min
  4575/6211 books | 1285944 segments | 501s elapsed | ETA 3.0min
  4600/6211 books | 1292749 segments | 501s elapsed | ETA 2.9min
  4625/6211 books | 1296764 segments | 505s elapsed | ETA 2.9min
  4650/6211 books | 1301151 segments | 505s elapsed | ETA 2.8min
  4675/6211 books | 1302996 segments | 505s elapsed | ETA 2.8min
  4700/6211 books | 1303183 segments | 506s elapsed | ETA 2.7min
  4725/6211 books | 1303332 segments | 506s elapsed | ETA 2.7min
  4750/6211 books | 1304294 segments | 506s elapsed | ETA 2.6min
  4775/6211 books | 1306504 segments | 507s elapsed | ETA 2.5min
  4800/6211 books | 1307106 segments | 507s elapsed | ETA 2.5min
  4825/6211 books | 1308397 segments | 507s elapsed | ETA 2.4min
  4850/6211 books | 1311021 segments | 508s elapsed | ETA 2.4min
  4875/6211 books | 1319681 segments | 508s elapsed | ETA 2.3min
  4900/6211 books | 1330667 segments | 510s elapsed | ETA 2.3min
  4925/6211 books | 1335566 segments | 510s elapsed | ETA 2.2min
  4950/6211 books | 1342160 segments | 511s elapsed | ETA 2.2min
  4975/6211 books | 1354890 segments | 514s elapsed | ETA 2.1min
  5000/6211 books | 1362391 segments | 519s elapsed | ETA 2.1min
  5025/6211 books | 1366227 segments | 520s elapsed | ETA 2.0min
  5050/6211 books | 1380597 segments | 522s elapsed | ETA 2.0min
  5075/6211 books | 1399747 segments | 523s elapsed | ETA 2.0min
  5100/6211 books | 1448482 segments | 528s elapsed | ETA 1.9min
  5125/6211 books | 1484866 segments | 532s elapsed | ETA 1.9min
  5150/6211 books | 1494707 segments | 534s elapsed | ETA 1.8min
  5175/6211 books | 1504953 segments | 535s elapsed | ETA 1.8min
  5200/6211 books | 1505002 segments | 535s elapsed | ETA 1.7min
  5225/6211 books | 1509947 segments | 536s elapsed | ETA 1.7min
  5250/6211 books | 1525862 segments | 538s elapsed | ETA 1.6min
  5275/6211 books | 1530466 segments | 541s elapsed | ETA 1.6min
  5300/6211 books | 1538419 segments | 545s elapsed | ETA 1.6min
  5325/6211 books | 1538964 segments | 548s elapsed | ETA 1.5min
  5350/6211 books | 1539645 segments | 548s elapsed | ETA 1.5min
  5375/6211 books | 1542727 segments | 549s elapsed | ETA 1.4min
  5400/6211 books | 1543558 segments | 549s elapsed | ETA 1.4min
  5425/6211 books | 1546981 segments | 549s elapsed | ETA 1.3min
  5450/6211 books | 1551350 segments | 550s elapsed | ETA 1.3min
  5475/6211 books | 1552487 segments | 550s elapsed | ETA 1.2min
  5500/6211 books | 1553381 segments | 550s elapsed | ETA 1.2min
  5525/6211 books | 1567990 segments | 552s elapsed | ETA 1.1min
  5550/6211 books | 1579894 segments | 553s elapsed | ETA 1.1min
  5575/6211 books | 1581955 segments | 554s elapsed | ETA 1.1min
  5600/6211 books | 1590718 segments | 555s elapsed | ETA 1.0min
  5625/6211 books | 1597610 segments | 556s elapsed | ETA 1.0min
  5650/6211 books | 1599440 segments | 556s elapsed | ETA 0.9min
  5675/6211 books | 1601359 segments | 556s elapsed | ETA 0.9min
  5700/6211 books | 1607879 segments | 557s elapsed | ETA 0.8min
  5725/6211 books | 1612847 segments | 561s elapsed | ETA 0.8min
  5750/6211 books | 1613938 segments | 561s elapsed | ETA 0.7min
  5775/6211 books | 1614317 segments | 561s elapsed | ETA 0.7min
  5800/6211 books | 1614425 segments | 561s elapsed | ETA 0.7min
  5825/6211 books | 1614742 segments | 561s elapsed | ETA 0.6min
  5850/6211 books | 1649214 segments | 564s elapsed | ETA 0.6min
  5875/6211 books | 1676224 segments | 565s elapsed | ETA 0.5min
  5900/6211 books | 1686340 segments | 566s elapsed | ETA 0.5min
  5925/6211 books | 1698335 segments | 567s elapsed | ETA 0.5min
  5950/6211 books | 1704561 segments | 568s elapsed | ETA 0.4min
  5975/6211 books | 1706291 segments | 568s elapsed | ETA 0.4min
  6000/6211 books | 1706450 segments | 568s elapsed | ETA 0.3min
  6025/6211 books | 1706625 segments | 568s elapsed | ETA 0.3min
  6050/6211 books | 1707598 segments | 569s elapsed | ETA 0.3min
  6075/6211 books | 1722102 segments | 574s elapsed | ETA 0.2min
  6100/6211 books | 1732166 segments | 575s elapsed | ETA 0.2min
  6125/6211 books | 1732507 segments | 576s elapsed | ETA 0.1min
  6150/6211 books | 1736813 segments | 576s elapsed | ETA 0.1min
  6175/6211 books | 1737084 segments | 576s elapsed | ETA 0.1min
  6200/6211 books | 1738113 segments | 577s elapsed | ETA 0.0min
building FTS5 title search index ...

=== DONE ===
categories: 1258 | books: 6210 | segments: 1744201
db size: 1551.6 MB at output\sefaria.db
1 books failed (re-run the script to retry them, it's resumable):
  - Penei Moshe on Jerusalem Talmud Sanhedrin: Remote end closed connection without response
